Pair=USDJPY;Period=H1;Days=720;Shift=1;Bars=17280;Time=20171231_233725
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime
42;113.154;113.162;112.967;112.998;33.57679270040101;51.68927783736036;113.3820094392511;113.3081797196255;113.2343499999999;113.1605202803742;113.0866905607486;-0.1559999999999917;0.1950000000000074;2017.12.28 06:00;2017.12.28 13:00
43;113.15;113.187;113.15;113.153;42.35822952835027;56.01382390664766;113.347471094241;113.2955855471204;113.2436999999999;113.1918144528793;113.1399289057588;0.003000000000000114;0.03699999999999193;2017.12.28 05:00;2017.12.28 12:00
44;113.223;113.223;113.14;113.15;42.07970058465224;55.81203722493607;113.3446065826967;113.2948532913483;113.2450999999999;113.1953467086515;113.1455934173031;-0.07299999999999329;0.08299999999999841;2017.12.28 04:00;2017.12.28 11:00
45;113.233;113.237;113.181;113.224;47.4528566174101;56.58292302892519;113.3399486500981;113.293649325049;113.2473499999999;113.2010506749508;113.1547513499017;-0.009000000000000341;0.05599999999999739;2017.12.28 03:00;2017.12.28 10:00
46;113.218;113.264;113.2;113.233;48.16342946727731;57.18281909758892;113.3407391871469;113.2933445935734;113.2459499999999;113.1985554064264;113.1511608128528;0.01500000000000057;0.06399999999999295;2017.12.28 02:00;2017.12.28 09:00
47;113.232;113.248;113.214;113.217;46.81847331165651;53.55986815999067;113.3407643218482;113.292757160924;113.2447499999999;113.1967428390757;113.1487356781515;-0.01500000000000057;0.03400000000000603;2017.12.28 01:00;2017.12.28 08:00
48;113.191;113.264;113.174;113.233;48.00165567768101;49.79044434345436;113.3419619546302;113.294330977315;113.2466999999998;113.1990690226847;113.1514380453695;0.04200000000000159;0.0899999999999892;2017.12.28 00:00;2017.12.28 07:00
49;113.28;113.35;113.277;113.334;56.57578490536429;52.39802210692221;113.3430459930842;113.295472996542;113.2478999999998;113.2003270034577;113.1527540069155;0.05400000000000205;0.07299999999999329;2017.12.27 23:00;2017.12.28 06:00
50;113.254;113.29;113.239;113.279;52.15459731231451;52.47876310831649;113.3378119986616;113.2922309993307;113.2466499999999;113.201069000669;113.1554880013381;0.02499999999999147;0.05100000000000193;2017.12.27 22:00;2017.12.28 05:00
51;113.274;113.296;113.226;113.253;49.86210811035831;51.72619930728629;113.3409548818462;113.294352440923;113.2477499999999;113.2011475590767;113.1545451181535;-0.0210000000000008;0.07000000000000739;2017.12.27 21:00;2017.12.28 04:00
52;113.316;113.343;113.219;113.274;51.76526721456698;56.83491500114093;113.3402209564754;113.2928854782376;113.2455499999998;113.1982145217621;113.1508790435243;-0.04200000000000159;0.1240000000000094;2017.12.27 20:00;2017.12.28 03:00
53;113.295;113.329;113.275;113.317;55.91691425462243;58.95627911908344;113.3379761875411;113.2896880937705;113.2413999999998;113.1931119062292;113.1448238124586;0.02199999999999136;0.05399999999998784;2017.12.27 19:00;2017.12.28 02:00
54;113.287;113.339;113.277;113.296;54.21320023079829;62.1669886313769;113.3272397444279;113.2821448722139;113.2370499999998;113.1919551277858;113.1468602555718;0.009000000000000341;0.06199999999999761;2017.12.27 18:00;2017.12.28 01:00
55;113.318;113.337;113.26;113.287;53.4812191507289;61.21103763403269;113.3210259945882;113.275937997294;113.2308499999998;113.1857620027057;113.1406740054115;-0.0309999999999917;0.07699999999999818;2017.12.27 17:00;2017.12.28 00:00
56;113.217;113.334;113.202;113.318;56.43336853479383;59.89821618523288;113.3147535593931;113.2699767796965;113.2251999999999;113.1804232203032;113.1356464406066;0.1009999999999991;0.132000000000005;2017.12.27 16:00;2017.12.27 23:00
57;113.228;113.261;113.196;113.217;47.45613977746859;55.86847671514511;113.3031694008242;113.259609700412;113.2160499999999;113.1724902995877;113.1289305991755;-0.01099999999999568;0.06499999999999773;2017.12.27 15:00;2017.12.27 22:00
58;113.243;113.251;113.183;113.227;48.3940967803073;50.99208440115581;113.3026100249545;113.2585300124772;113.2144499999999;113.1703699875225;113.1262899750452;-0.01599999999999113;0.06799999999999784;2017.12.27 14:00;2017.12.27 21:00
59;113.261;113.276;113.199;113.242;49.79660402156239;51.25962521769245;113.3012021929551;113.2570260964775;113.2128499999999;113.1686739035222;113.1244978070446;-0.01899999999999125;0.07699999999999818;2017.12.27 13:00;2017.12.27 20:00
60;113.175;113.38;113.162;113.261;51.59594831036397;51.50212234144031;113.2991659596411;113.2554579798205;113.2117499999999;113.1680420201792;113.1243340403586;0.08599999999999852;0.2179999999999893;2017.12.27 12:00;2017.12.27 19:00
61;113.185;113.196;113.149;113.174;42.56877253662827;43.90961810611479;113.2954317841843;113.2528908920921;113.2103499999999;113.1678091079077;113.1252682158155;-0.01099999999999568;0.04699999999999704;2017.12.27 11:00;2017.12.27 18:00
62;113.182;113.22;113.154;113.185;43.54420587627175;44.80060967660381;113.3017755725995;113.2583877862997;113.2149999999998;113.1716122137;113.1282244274002;0.003000000000000114;0.0660000000000025;2017.12.27 10:00;2017.12.27 17:00
63;113.194;113.212;113.16;113.181;43.09374467838153;40.56030427468892;113.3136044670615;113.2671522335307;113.2206999999999;113.1742477664691;113.1277955329383;-0.01300000000000523;0.05200000000000671;2017.12.27 09:00;2017.12.27 16:00
64;113.196;113.213;113.172;113.195;44.26818855374447;41.4079470347699;113.3254318580835;113.2762409290417;113.2270499999998;113.177859070958;113.1286681419162;-0.001000000000004775;0.04099999999999682;2017.12.27 08:00;2017.12.27 15:00
65;113.207;113.222;113.174;113.196;44.35020656789439;44.95247081386766;113.3349711685456;113.2837105842727;113.2324499999998;113.1811894157269;113.129928831454;-0.01099999999999568;0.04799999999998761;2017.12.27 07:00;2017.12.27 14:00
66;113.256;113.275;113.189;113.209;45.38876961615419;47.72549712359793;113.3429351652252;113.2903175826125;113.2376999999998;113.1850824173872;113.1324648347745;-0.04699999999999704;0.08600000000001273;2017.12.27 06:00;2017.12.27 13:00
67;113.258;113.282;113.244;113.256;49.35866175001632;47.71657044253721;113.3480657691465;113.2948328845732;113.2415999999998;113.1883671154265;113.1351342308531;-0.001999999999995339;0.0379999999999967;2017.12.27 05:00;2017.12.27 12:00
68;113.31;113.333;113.251;113.257;49.44607713727717;47.27670220313077;113.3521154959036;113.2977827479517;113.2434499999999;113.189117252048;113.1347845040961;-0.05299999999999727;0.08199999999999363;2017.12.27 04:00;2017.12.27 11:00
